ts,value
2019-06-17 16:00:00,492.59972220000003
2019-06-17 17:00:00,500.5125
2019-06-17 18:00:00,466.4947222
2019-06-17 19:00:00,420.9352778
2019-06-17 20:00:00,368.37555560000004
2019-06-17 21:00:00,347.1172222
2019-06-17 22:00:00,355.1752778
2019-06-17 23:00:00,352.7822222
2019-06-18 00:00:00,348.3569444
2019-06-18 01:00:00,341.0638889
2019-06-18 02:00:00,340.5658333
2019-06-18 03:00:00,338.5525
2019-06-18 04:00:00,352.18305560000005
2019-06-18 05:00:00,366.3791667
2019-06-18 06:00:00,382.435
2019-06-18 07:00:00,415.06194439999996
2019-06-18 08:00:00,456.20333330000005
2019-06-18 09:00:00,499.7530556
2019-06-18 10:00:00,515.2605556
2019-06-18 11:00:00,515.2058333000001
2019-06-18 12:00:00,457.29138889999996
2019-06-18 13:00:00,508.38861110000005
2019-06-18 14:00:00,499.72194440000004
2019-06-18 15:00:00,488.7525
2019-06-18 16:00:00,452.2094444
2019-06-18 17:00:00,453.0622222
2019-06-18 18:00:00,479.2477778
2019-06-18 19:00:00,436.23194440000003
2019-06-18 20:00:00,373.2841667
2019-06-18 21:00:00,349.63055560000004
2019-06-18 22:00:00,359.4130556
2019-06-18 23:00:00,358.8677778
2019-06-19 00:00:00,354.18055560000005
2019-06-19 01:00:00,348.9683333
2019-06-19 02:00:00,354.4933333
2019-06-19 03:00:00,355.1066667
2019-06-19 04:00:00,359.4438889
2019-06-19 05:00:00,368.1063889
2019-06-19 06:00:00,385.74944439999996
2019-06-19 07:00:00,410.9411111
2019-06-19 08:00:00,443.40277779999997
2019-06-19 09:00:00,469.38388889999993
2019-06-19 10:00:00,485.54666669999995
2019-06-19 11:00:00,492.4052778
2019-06-19 12:00:00,480.4855556
2019-06-19 13:00:00,473.8447222
2019-06-19 14:00:00,464.2433333000001
2019-06-19 15:00:00,464.1111111000001
2019-06-19 16:00:00,464.55361110000007
2019-06-19 17:00:00,486.5863889
2019-06-19 18:00:00,483.8375
2019-06-19 19:00:00,443.1927778
2019-06-19 20:00:00,389.4791667
2019-06-19 21:00:00,353.5188889
2019-06-19 22:00:00,362.8127778
2019-06-19 23:00:00,360.9511111
2019-06-20 00:00:00,360.32194439999995
2019-06-20 01:00:00,354.3963889
2019-06-20 02:00:00,352.55055560000005
2019-06-20 03:00:00,354.18305560000005
2019-06-20 04:00:00,358.0508333
2019-06-20 05:00:00,376.7925
2019-06-20 06:00:00,391.49694439999996
2019-06-20 07:00:00,420.55638889999994
2019-06-20 08:00:00,455.6555556
2019-06-20 09:00:00,486.56166669999993
2019-06-20 10:00:00,505.02861110000003
2019-06-20 11:00:00,518.2644444
2019-06-20 12:00:00,509.43388889999994
